company_name,website,linkedin_url,source_primary,source_secondary,raw_segment_guess,notes
Ashby,https://www.ashbyhq.com/,,manual_seed,,ATS|recruiting automation,"strong startup ATS/recruiting platform"
Greenhouse,https://www.greenhouse.com/,,manual_seed,,ATS,"scaled recruiting platform"
Lever,https://www.lever.co/,,manual_seed,,ATS|recruiting CRM,"ATS + CRM positioning"
SmartRecruiters,https://www.smartrecruiters.com/,,manual_seed,,ATS,"enterprise recruiting suite"
Workable,https://www.workable.com/,,manual_seed,,ATS,"SMB/mid-market ATS"
Teamtailor,https://www.teamtailor.com/,,manual_seed,,ATS|career site infrastructure,"employer branding plus ATS"
Recruitee,https://recruitee.com/,,manual_seed,,ATS,"SMB ATS"
Jobvite,https://www.jobvite.com/,,manual_seed,,ATS|recruiting automation,"enterprise TA platform"
iCIMS,https://www.icims.com/,,manual_seed,,ATS,"large enterprise recruiting stack"
Gem,https://www.gem.com/,,manual_seed,,recruiting CRM|AI sourcing,"TA CRM and sourcing"
Beamery,https://beamery.com/,,manual_seed,,talent intelligence|recruiting CRM,"enterprise talent platform"
SeekOut,https://www.seekout.com/,,manual_seed,,sourcing|AI talent intelligence,"talent intelligence"
hireEZ,https://hireez.com/,,manual_seed,,AI sourcing,"AI sourcing platform"
Paradox,https://www.paradox.ai/,,manual_seed,,AI recruiter|candidate screening,"AI assistant for hiring"
Eightfold AI,https://eightfold.ai/,,manual_seed,,AI talent intelligence,"talent intelligence / matching"
Phenom,https://www.phenom.com/,,manual_seed,,talent experience|career site infrastructure,"end-to-end talent experience"
Gloat,https://gloat.com/,,manual_seed,,internal talent marketplace,"internal mobility / talent marketplace"
Loxo,https://loxo.co/,,manual_seed,,recruiting CRM|sourcing,"agency and in-house recruiting"
Manatal,https://www.manatal.com/,,manual_seed,,ATS|recruiting CRM,"SMB ATS and CRM"
Pinpoint,https://www.pinpointhq.com/,,manual_seed,,ATS,"talent acquisition software"
TestGorilla,https://www.testgorilla.com/,,manual_seed,,assessment / testing,"skills testing"
HackerRank,https://www.hackerrank.com/,,manual_seed,,assessment / testing,"technical assessments"
CodeSignal,https://codesignal.com/,,manual_seed,,assessment / testing,"skills assessment"
CoderPad,https://coderpad.io/,,manual_seed,,assessment / testing,"technical interviewing"
Karat,https://karat.com/,,manual_seed,,video interviewing|technical interviews,"outsourced technical interview layer"
HireVue,https://www.hirevue.com/,,manual_seed,,video interviewing,"video interviewing"
BrightHire,https://www.brighthire.com/,,manual_seed,,interview intelligence,"interview analytics"
Metaview,https://www.metaview.ai/,,manual_seed,,interview intelligence,"AI notes for recruiting"
Clovers,https://www.clovers.ai/,,manual_seed,,AI interviewing,"AI interview intelligence"
ModernLoop,https://www.modernloop.com/,,manual_seed,,interview scheduling,"interview ops"
GoodTime,https://goodtime.io/,,manual_seed,,interview scheduling,"interview scheduling"
Mercor,https://mercor.com/,,manual_seed,,AI recruiter|talent marketplace,"AI-native hiring marketplace"
Andela,https://www.andela.com/,,manual_seed,,talent cloud,"global talent marketplace"
Turing,https://www.turing.com/,,manual_seed,,talent cloud,"remote talent marketplace"
Braintrust,https://www.usebraintrust.com/,,manual_seed,,freelance talent marketplace,"marketplace / network model"
Hired,https://hired.com/,,manual_seed,,direct hire marketplace,"candidate marketplace"
Wellfound,https://wellfound.com/,,manual_seed,,startup jobs marketplace,"startup hiring platform"
Teal,https://www.tealhq.com/,,manual_seed,,job search copilot,"candidate-side career tooling"
Simplify,https://simplify.jobs/,,manual_seed,,job search copilot,"candidate-side job tooling"
Jobright,https://jobright.ai/,,manual_seed,,job search copilot|AI recruiter,"candidate AI job search"
Draftboard,https://draftboard.com/,,manual_seed,,external referral marketplace,"referral marketplace"
Hunt Club,https://huntclub.com/,,manual_seed,,warm-intro recruiting,"network-driven recruiting"
ERIN,https://erinapp.com/,,manual_seed,,employee referrals,"employee referral software"
Teamable,https://teamable.com/,,manual_seed,,employee referrals,"employee referral and network hiring"
Boon,https://www.goboon.co/,,manual_seed,,employee referrals,"referral hiring platform"
Paraform,https://www.paraform.com/,,manual_seed,,external referral marketplace,"open referral marketplace"
Manara,https://www.manara.tech/,,manual_seed,,candidate career platform|warm-intro recruiting,"career network for engineers"
Dover,https://www.dover.com/,,manual_seed,,recruiting automation,"recruiting platform"
Rippling,https://www.rippling.com/,,manual_seed,,HRIS|ATS,"HR core adjacent"
Deel,https://www.deel.com/,,manual_seed,,HRIS|global hiring,"global hiring and payroll"
Remote,https://remote.com/,,manual_seed,,global hiring|payroll,"global hiring infrastructure"
Oyster,https://www.oysterhr.com/,,manual_seed,,global hiring|payroll,"distributed hiring infrastructure"
